Champion,Role,Rank,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
Shyvana,Jungle,144,0.511,0.0293,0.0027,3.79,5.98,4.79,6.41,7,17759,29149,11047,45,9.77,92.09,11199,12,3
Singed,Jungle,145,0.4648,0.0023,0.0004,27.6,4.52,6.21,7.38,6,19422,29362,5548,166.4,2.82,10,10993,47,3
Singed,Top,146,0.492,0.0098,0.0004,5.85,4.51,6.09,7.59,5,19848,29567,5371,181.6,1.7,1.52,11216,30,15
Sion,Support,147,0.4934,0.0027,0.0002,9.8,3.24,5,6.16,7,10653,19229,1343,86.5,0.8,0.9,7532,46,9
Sion,Top,148,0.5084,0.0148,0.0002,5.71,4.81,5.95,7.57,8,19636,33613,3159,177.5,1.5,2.28,11282,11,6
Sivir,ADC,149,0.513,0.0152,0.0002,3.58,5.95,5.41,8.62,8,19702,17483,2495,196.8,2.34,8.43,12260,10,6
Skarner,Jungle,150,0.4989,0.0043,0.0001,4.32,4.22,4.89,8.93,5,10268,25601,7833,30.8,7.74,82.3,10188,41,1
Sona,Support,151,0.5231,0.02,0.0001,6.64,2.41,5.47,12.81,5,10152,13742,10524,16.3,0.16,0.26,7699,15,1
Soraka,Support,152,0.5058,0.0332,0.0014,6.4,0.92,5.14,12.83,2,5520,11768,18590,16.1,0.05,0.09,7013,22,2
Swain,Support,153,0.5016,0.0175,0.0014,27.71,4.35,6.14,10.55,6,16369,23010,6537,35.5,0.42,0.68,8604,11,1
Sylas,Jungle,154,0.4831,0.0223,0.0171,NaN,6.58,5.89,7.06,9,16287,33787,15207,34.7,7.04,72.6,10398,17,13
Sylas,Middle,155,0.482,0.0317,0.0171,NaN,7.44,6.5,6.8,9,20411,30084,9404,140.3,1.75,5.34,11031,26,1
Sylas,Top,156,0.4784,0.014,0.0171,NaN,6.25,6.52,6.27,7,19818,30656,9722,145.1,1.67,3.54,10743,34,4
Syndra,ADC,157,0.5157,0.0075,0.006,20.9,6.6,5.61,7.73,7,21449,17095,3359,181.6,1.84,6.25,11771,13,1
